gene_1,gene_2,phi,p_value,n_cooccurrences,scatter_score,classification
EC-18,Escherichia coli parC conferring resistance to fluoroquinolones,0.3049,0.0309,2,0.0005,CONSERVED
CTX-M-15,QnrS1,0.5654,0.003,2,0.007,CONSERVED
AAC(6')-Ib-cr6,Escherichia coli parC conferring resistance to fluoroquinolones,0.3049,0.0309,2,0.0339,CONSERVED
AAC(6')-Ib-cr6,Escherichia coli UhpT with mutation conferring resistance to fosfomycin,0.3401,0.0212,2,0.0339,CONSERVED
AAC(6')-Ib-cr6,Escherichia coli PtsI with mutation conferring resistance to fosfomycin,0.4286,0.0091,2,0.0339,CONSERVED
AAC(3)-IIe,AAC(6')-Ib-cr6,1.0,0.0002,2,0.0339,CONSERVED
AAC(3)-IIe,Escherichia coli parC conferring resistance to fluoroquinolones,0.3049,0.0309,2,0.0339,CONSERVED
AAC(3)-IIe,Escherichia coli UhpT with mutation conferring resistance to fosfomycin,0.3401,0.0212,2,0.0339,CONSERVED
AAC(3)-IIe,Escherichia coli PtsI with mutation conferring resistance to fosfomycin,0.4286,0.0091,2,0.0339,CONSERVED
AAC(3)-IIe,CMY-132,0.4543,0.0073,2,0.0339,CONSERVED
AAC(6')-Ib-cr6,CMY-132,0.4543,0.0073,2,0.0339,CONSERVED
OXA-1,dfrA1,0.4622,0.0,12,0.2854,CONSERVED
OXA-1,SAT-2,0.4622,0.0,12,0.2854,CONSERVED
mphA,tet(A),0.6999,0.0012,2,0.2903,CONSERVED
CTX-M-27,tet(A),1.0,0.0002,2,0.2903,CONSERVED
APH(6)-Id,tet(A),0.6999,0.0012,2,0.2903,CONSERVED
aadA5,sul2,0.4113,0.0123,2,0.2903,CONSERVED
aadA5,tet(A),0.8123,0.0006,2,0.2903,CONSERVED
dfrA17,sul2,0.4113,0.0123,2,0.2903,CONSERVED
CTX-M-27,mphA,0.6999,0.0012,2,0.2903,CONSERVED
CTX-M-27,aadA5,0.8123,0.0006,2,0.2903,CONSERVED
CTX-M-27,dfrA17,0.8123,0.0006,2,0.2903,CONSERVED
APH(6)-Id,mphA,0.4792,0.0071,2,0.2903,CONSERVED
CTX-M-27,qacEdelta1,0.5654,0.003,2,0.2903,CONSERVED
CTX-M-27,sul1,0.5207,0.0042,2,0.2903,CONSERVED
dfrA17,tet(A),0.8123,0.0006,2,0.2903,CONSERVED
APH(6)-Id,dfrA17,0.5624,0.0036,2,0.2903,CONSERVED
mphA,sul2,0.344,0.0237,2,0.2903,CONSERVED
APH(6)-Id,CTX-M-27,0.6999,0.0012,2,0.2903,CONSERVED
sul2,tet(A),0.5207,0.0042,2,0.2903,CONSERVED
APH(6)-Id,aadA5,0.5624,0.0036,2,0.2903,CONSERVED
APH(3'')-Ib,CTX-M-27,0.6999,0.0012,2,0.2903,CONSERVED
APH(3'')-Ib,aadA5,0.5624,0.0036,2,0.2903,CONSERVED
APH(3'')-Ib,dfrA17,0.5624,0.0036,2,0.2903,CONSERVED
APH(3'')-Ib,mphA,0.4792,0.0071,2,0.2903,CONSERVED
CTX-M-27,sul2,0.5207,0.0042,2,0.2903,CONSERVED
sul1,tet(A),0.5207,0.0042,2,0.2903,CONSERVED
qacEdelta1,tet(A),0.5654,0.003,2,0.2903,CONSERVED
APH(3'')-Ib,tet(A),0.6999,0.0012,2,0.2903,CONSERVED
EC-14,mdtG,0.338,0.0013,8,0.3059,CONSERVED
EC-14,mdtA,0.3145,0.0013,9,0.3318,CONSERVED
EC-14,mdtM,0.334,0.0007,9,0.3318,CONSERVED
AcrF,EC-14,0.3933,0.0001,9,0.3318,CONSERVED
AcrS,EC-14,0.3208,0.0011,9,0.3318,CONSERVED
AcrE,EC-14,0.3208,0.0011,9,0.3318,CONSERVED
catI,dfrA1,0.4387,0.0001,11,0.4035,CONSERVED
SAT-2,catI,0.4387,0.0001,11,0.4035,CONSERVED
EC-8,qacEdelta1,0.3284,0.0279,2,0.4519,CONSERVED
SAT-2,tet(B),0.5093,0.0,14,0.4601,CONSERVED
dfrA1,tetR,0.5093,0.0,14,0.4601,CONSERVED
