gene,mantel_r,p_value,n_carriers,classification
YojI,0.6116,0.001,85,CLONAL
CRP,0.6116,0.001,85,CLONAL
Escherichia coli acrA,0.6116,0.001,85,CLONAL
Escherichia coli soxS with mutation conferring antibiotic resistance,0.6116,0.001,85,CLONAL
H-NS,0.6116,0.001,85,CLONAL
Klebsiella pneumoniae KpnE,0.6116,0.001,85,CLONAL
Klebsiella pneumoniae KpnF,0.6116,0.001,85,CLONAL
TolC,0.6116,0.001,85,CLONAL
bacA,0.6116,0.001,85,CLONAL
baeR,0.6116,0.001,85,CLONAL
baeS,0.6116,0.001,85,CLONAL
cpxA,0.6116,0.001,85,CLONAL
emrR,0.6116,0.001,85,CLONAL
emrY,0.6116,0.001,85,CLONAL
rsmA,0.6116,0.001,85,CLONAL
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,0.6116,0.001,85,CLONAL
emrK,0.5947,0.001,84,CLONAL
acrB,0.5945,0.001,84,CLONAL
msbA,0.5901,0.001,84,CLONAL
Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,0.589,0.001,84,CLONAL
marA,0.589,0.001,84,CLONAL
Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics,0.5866,0.001,84,CLONAL
vanG,0.5792,0.001,84,CLONAL
evgA,0.5663,0.001,83,CLONAL
evgS,0.5618,0.001,83,CLONAL
emrB,0.5603,0.001,83,CLONAL
gadX,0.5601,0.001,83,CLONAL
"Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime",0.5373,0.001,82,CLONAL
eptA,0.51,0.001,79,CLONAL
Escherichia coli soxR with mutation conferring antibiotic resistance,0.5018,0.001,80,CLONAL
mdtH,0.4974,0.001,76,CLONAL
Escherichia coli GlpT with mutation conferring resistance to fosfomycin,0.4796,0.001,79,CLONAL
mdtC,0.4762,0.001,75,CLONAL
acrD,0.4695,0.001,75,CLONAL
PmrF,0.4571,0.001,72,CLONAL
mdtN,0.4347,0.001,70,CLONAL
mdtP,0.419,0.001,68,CLONAL
kdpE,0.4003,0.001,68,CLONAL
Escherichia coli mdfA,0.3805,0.001,65,AMBIGUOUS
mdtO,0.3756,0.001,67,AMBIGUOUS
mdtF,0.3301,0.001,62,AMBIGUOUS
mdtB,0.3228,0.001,54,AMBIGUOUS
Escherichia coli emrE,0.321,0.001,56,AMBIGUOUS
emrA,0.3012,0.001,59,AMBIGUOUS
mdtE,0.3012,0.001,59,AMBIGUOUS
AcrS,0.2972,0.001,49,AMBIGUOUS
AcrE,0.2968,0.001,49,AMBIGUOUS
Escherichia coli ampC beta-lactamase,0.2915,0.001,39,AMBIGUOUS
mdtA,0.2911,0.001,50,AMBIGUOUS
mdtG,0.2864,0.001,37,AMBIGUOUS
ugd,0.2811,0.001,57,AMBIGUOUS
AcrF,0.274,0.001,39,AMBIGUOUS
gadW,0.2678,0.001,52,AMBIGUOUS
SAT-2,0.2101,0.001,19,AMBIGUOUS
dfrA1,0.2101,0.001,19,AMBIGUOUS
OXA-1,0.2085,0.001,23,AMBIGUOUS
mdtM,0.2036,0.001,47,AMBIGUOUS
tetR,0.1808,0.001,27,HGT
tet(B),0.1808,0.001,27,HGT
EC-14,0.1789,0.001,9,HGT
catI,0.1778,0.001,21,HGT
ANT(3'')-IIa,0.1753,0.001,27,HGT
Escherichia coli PtsI with mutation conferring resistance to fosfomycin,0.1359,0.001,10,HGT
Escherichia coli UhpT with mutation conferring resistance to fosfomycin,0.1178,0.001,15,HGT
CMY-132,0.1123,0.001,9,HGT
Escherichia coli gyrA conferring resistance to fluoroquinolones,0.1009,0.014,27,HGT
Escherichia coli parC conferring resistance to fluoroquinolones,0.0787,0.019,18,HGT
EC-15,0.0772,0.013,13,HGT
Escherichia coli cyaA with mutation conferring resistance to fosfomycin,0.0545,0.015,7,HGT
EC-5,0.0518,0.006,3,HGT
EC-18,0.0444,0.002,2,HGT
QnrS1,0.0441,0.003,2,HGT
AAC(3)-IIe,0.043,0.019,2,HGT
AAC(6')-Ib-cr6,0.043,0.007,2,HGT
tet(A),0.0316,0.041,2,HGT
CTX-M-27,0.0316,0.034,2,HGT
EC-8,0.0305,0.124,5,HGT
CTX-M-8,0.0262,0.049,2,HGT
dfrA17,0.0092,0.553,3,HGT
aadA5,0.0092,0.546,3,HGT
CTX-M-14,0.0081,0.576,3,HGT
Klebsiella pneumoniae KpnH,0.0002,0.996,2,HGT
mphA,-0.011,0.58,4,HGT
aadA,-0.0139,0.47,2,HGT
APH(3')-Ia,-0.014,0.46,2,HGT
aadA2,-0.0142,0.443,2,HGT
dfrA12,-0.0142,0.453,2,HGT
APH(3'')-Ib,-0.0147,0.452,4,HGT
APH(6)-Id,-0.0147,0.468,4,HGT
sul2,-0.0148,0.542,7,HGT
TEM-1,-0.0245,0.143,3,HGT
CTX-M-15,-0.0268,0.246,6,HGT
qacEdelta1,-0.0289,0.199,6,HGT
CTX-M-2,-0.0335,0.056,4,HGT
sul1,-0.041,0.077,7,HGT
